project_id,project_rules_reviewer_name,special_project_rules,additional_review_process,major_project_indicator
123e4567-e89b-12d3-a456-426614174000,John Smith,All hours must be approved by the project manager.,required,TRUE
123e4567-e89b-12d3-a456-426614174001,Sarah Johnson,Contractors must submit weekly progress reports.,required,TRUE
123e4567-e89b-12d3-a456-426614174002,Michael Brown,No special rules for this project.,not_required,FALSE
123e4567-e89b-12d3-a456-426614174003,Emily Davis,All expenses must be pre-approved.,required,TRUE
123e4567-e89b-12d3-a456-426614174004,David Wilson,Standard project rules apply.,not_required,FALSE
123e4567-e89b-12d3-a456-426614174005,Jennifer Martinez,High security clearance required for all contractors.,required,TRUE
123e4567-e89b-12d3-a456-426614174006,Robert Thompson,Daily reporting required.,required,FALSE
123e4567-e89b-12d3-a456-426614174007,Lisa Anderson,Only authorized personnel allowed on site.,not_required,TRUE
123e4567-e89b-12d3-a456-426614174008,James Wilson,Flexible schedule permitted.,not_required,FALSE
123e4567-e89b-12d3-a456-426614174009,Michelle Garcia,All overtime must be pre-approved by department head.,required,TRUE
